QUESTION,BT LEVEL,BT LEVEL (REVISED)
Compare Zener breakdown with avalanche breakdown in a pn junction and state THREE differences. Name a device that utilizes each breakdown mode. ,Analysis,Analyze
Determine the volume density and area density on the (1 0 0) plane of a body center cubic cell with lattice constant of 5 Å. ,Application,Apply
Explain the change in conductivity for a metal and an intrinsic semiconductor as temperature increases. ,Comprehension,Understand
Determine the Fermi level (in eV) of the doped semiconductor and draw the energy band diagram. ,Application,Apply
Explain why it is important for the width of the base quasineutral region to be small compared to the minority carrier diffusion length in the operation of a BJT.,Comprehension,Understand
"Explain the meaning of the expression ""robust model"". Specifically, justify your response if you heard a manager exclaim  'Uh-oh, we're in trouble! The calculated EOQ is wrong; actual demand is 10% greater than estimated'. ",Evaluation,Evaluate
"Explain one (1) major advantage, and one (1) major disadvantage, of a fixed period system. ",Comprehension,Understand
Explain the method of monitoring inventory levels in retails stores.,Comprehension,Understand
Develop an ABC classification system for the 10 items. ,Synthesis,Create
"Construct a product structure. Identify components. 
parents, and components.",Synthesis,Create
Prepare a time-phased product structure. ,Application,Apply
Design a vendor-rating form that represents your comparison of the education offered by universities in which you considered/are considering/have considered enrolling. ,Synthesis,Create
"""The bullwhip measure can be used to analyze supply chains. Nevertheless, inaccurate measures taken in addressing variance amplification can have ramifications"".  Explain this statement. ",Comprehension,Understand
Explain three (3) lean techniques that work in both the manufacturing and service sector. ,Comprehension,Understand
"Just-in-time (JIT) attempts to remove delays, which do not add value. Explain how JIT copes with weather and its impact on crop harvest and transportation times. ",Comprehension,Understand
Explain three (3) ways in which JIT and quality are related. ,Comprehension,Understand
Determine the economic order quantity.,Application,Apply
"Justify the choice of supplier. From your choice, determine the optimal order quantity and total annual cost of ordering, purchasing and holding the component. ",Evaluation,Evaluate
Calculate the optimal size of the production run. ,Application,Apply
Calculate the average holding and setup cost per year. ,Application,Apply
"Calculate the total cost per year, including the cost of the lights. ",Application,Apply
"Explain the reason why it is not necessary to include product cost (price or price times quantity) in the EOQ model, but the quantity discount model requires the inclusion of product cost. ",Comprehension,Understand
"When quantity discounts are offered, justify why it is not necessary to check discount points that are below the EOQ or points above the EOQ that are not discount points. ",Evaluation,Evaluate
Describe the three (3) ways in which JIT and quality are related. ,Comprehension,Understand
"Standardized, reusable containers have fairly obvious benefits for shipping. Use five (5) points to justify the purpose of these devices within the plant. ",Evaluation,Evaluate
Develop a time phased product structure.,Synthesis,Create
Calculate the variance of demand for the winery. ,Application,Apply
Calculate the variance of orders for the glass bottles. ,Application,Apply
Determine if the winery is providing an amplifying or smoothing effect. ,Application,Apply
Determine the percentage of DHT's assets committed to inventory. ,Application,Apply
Justify if DHT`s supply chain performance is better than PLI. ,Evaluation,Evaluate
"Explain the definition of a “robust model”. Specifically, if a manager exclaimed “The calculated EOQ is wrong because the actual demand is 10% greater than estimated”, justify your response. ",Evaluation,Evaluate
Explain the term “level scheduling'. ,Comprehension,Understand
"Standardized, reusable containers have fairly obvious benefits in shipping and within a plant. State five (5) purpose of these devices. ",Knowledge,Remember
Justify two (2) lean techniques that work in both the manufacturing and service sectors. ,Evaluation,Evaluate
Calculate the percent invested in inventory. ,Application,Apply
Calculate the inventory turnover. ,Application,Apply
Igneous rock can be formed either underground or above ground. Elaborate. ,Comprehension,Understand
Glass is known to have good qualities and properties related to thermal and sound insulations. Discuss the application of glass in the construction of green building.,Comprehension,Understand
Briefly explain the desire properties of aggregate in producing concrete mixture. ,Comprehension,Understand
Autoclave aerated concrete block is gaining popular in high rise construction. Briefly illustrate what are the unique features of the autoclave aerated concrete block. ,Comprehension,Understand
Steel is the most widely used reinforcing materials in concrete structure. Briefly explain the general properties of steel. ,Comprehension,Understand
Briefly illustrate FOUR (4) influences of carbon on metal. ,Comprehension,Understand
